area,fhir_path,concept_display,ehi_join_table,ehi_join_column,epic_local_system,epic_local_code,epic_local_display,target_system,target_code,target_display,anchor_method,ehi_verified,confidence,notes,system_class
lab,DiagnosticReport.code,Basic metabolic panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,678,BASIC METABOLIC PANEL,http://loinc.org,24321-2,,content-match,yes,medium,"DR↔ORDER_PROC via placer ORDER_PROC_ID=772179262 → PROC_ID=678 (""BASIC METABOLIC PANEL""). PROC_ID is not dual-coded numerically in code.coding; standard code attached at order level.",standard
lab,DiagnosticReport.code,Basic metabolic panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,678,BASIC METABOLIC PANEL,urn:oid:2.16.840.1.113883.6.12,80048,CHG BASIC METABOLIC PANEL CALCIUM TOTAL,content-match,yes,medium,"DR↔ORDER_PROC via placer ORDER_PROC_ID=772179262 → PROC_ID=678 (""BASIC METABOLIC PANEL""). CPT (urn:oid:2.16.840.1.113883.6.12). PROC_ID is not dual-coded numerically in code.coding; standard code attached at order level.",standard
lab,DiagnosticReport.code,"H. pylori antigen, stool",ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,35289,"H. PYLORI ANTIGEN, STOOL",urn:oid:2.16.840.1.113883.6.12,87338,CHG IAAD IA HPYLORI STOOL,content-match,yes,medium,"DR↔ORDER_PROC via placer ORDER_PROC_ID=439060607 → PROC_ID=35289 (""H. PYLORI ANTIGEN, STOOL""). CPT (urn:oid:2.16.840.1.113883.6.12). PROC_ID is not dual-coded numerically in code.coding; standard code attached at order level.",standard
lab,DiagnosticReport.code,Hemoglobin A1c,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,828,HEMOGLOBIN A1C,http://loinc.org,4548-4,,content-match,yes,medium,"DR↔ORDER_PROC via placer ORDER_PROC_ID=945468370 → PROC_ID=828 (""HEMOGLOBIN A1C""). PROC_ID is not dual-coded numerically in code.coding; standard code attached at order level.",standard
lab,DiagnosticReport.code,Hemoglobin A1c,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,828,HEMOGLOBIN A1C,urn:oid:2.16.840.1.113883.6.12,83036,PR GLYCOSYLATED HEMOGLOBIN TEST,content-match,yes,medium,"DR↔ORDER_PROC via placer ORDER_PROC_ID=945468370 → PROC_ID=828 (""HEMOGLOBIN A1C""). CPT (urn:oid:2.16.840.1.113883.6.12). PROC_ID is not dual-coded numerically in code.coding; standard code attached at order level.",standard
lab,DiagnosticReport.code,Hepatitis C antibody,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,64768,HEPATITIS C ANTIBODY,http://loinc.org,16128-1,,content-match,yes,medium,"DR↔ORDER_PROC via placer ORDER_PROC_ID=945468372 → PROC_ID=64768 (""HEPATITIS C ANTIBODY""). PROC_ID is not dual-coded numerically in code.coding; standard code attached at order level.",standard
lab,DiagnosticReport.code,Hepatitis C antibody,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,64768,HEPATITIS C ANTIBODY,urn:oid:2.16.840.1.113883.6.12,86803,CHG HEPATITIS C AB TEST,content-match,yes,medium,"DR↔ORDER_PROC via placer ORDER_PROC_ID=945468372 → PROC_ID=64768 (""HEPATITIS C ANTIBODY""). CPT (urn:oid:2.16.840.1.113883.6.12). PROC_ID is not dual-coded numerically in code.coding; standard code attached at order level.",standard
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,http://loinc.org,24331-1,,content-match,yes,medium,"DR↔ORDER_PROC via placer ORDER_PROC_ID=945468371 → PROC_ID=684 (""LIPID PANEL""). PROC_ID is not dual-coded numerically in code.coding; standard code attached at order level.",standard
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:2.16.840.1.113883.6.12,80061,CHG LIPID PANEL,content-match,yes,medium,"DR↔ORDER_PROC via placer ORDER_PROC_ID=439060606 → PROC_ID=684 (""LIPID PANEL""). CPT (urn:oid:2.16.840.1.113883.6.12). PROC_ID is not dual-coded numerically in code.coding; standard code attached at order level.",standard
lab,Observation.code,Anion Gap,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1525828,Anion Gap,http://loinc.org,33037-3,Anion gap in Serum or Plasma by calculation,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""ANION GAP"". ",standard
lab,Observation.code,BUN,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1558175,BUN,http://loinc.org,3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""BUN BLOOD"". ",standard
lab,Observation.code,BUN/Creatinine Ratio,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1510194,BUN/Creatinine Ratio,http://loinc.org,3097-3,Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""BUN / CREAT RATIO"". ",standard
lab,Observation.code,Calcium,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1558170,Calcium,http://loinc.org,17861-6,Calcium [Mass/volume] in Serum or Plasma,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""CALCIUM"". ",standard
lab,Observation.code,Chloride,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1534101,Chloride,http://loinc.org,2075-0,Chloride [Moles/volume] in Serum or Plasma,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""CHLORIDE"". ",standard
lab,Observation.code,Cholesterol,ORDER_RESULTS,COMPONENT_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768282,1557760,Cholesterol,http://loinc.org,2093-3,Cholesterol [Mass/volume] in Serum or Plasma,dual-coding,yes,high,"EHI COMPONENT_ID_NAME=""CHOLESTEROL"". ",standard
